datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,macd,macd_signal,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-05-08 04:00:00,105.04,106.095,104.7001,105.83,49412909.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,,,
2023-05-09 04:00:00,105.48,106.79,105.1567,106.62,44089359.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0074648020410093,,
2023-05-10 04:00:00,108.1,110.67,108.05,110.19,78627441.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.03348339898705688,,
2023-05-11 04:00:00,111.03,113.28,110.49,112.18,74924841.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.01805971503766224,,
2023-05-12 04:00:00,112.16,112.64,109.3185,110.26,49852671.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.017115350329827028,,
2023-05-15 04:00:00,111.15,112.29,109.25,111.2,52461045.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.008525303827317199,,
2023-05-16 04:00:00,111.05,114.7899,111.05,113.4,71340708.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.019784172661870603,,
2023-05-17 04:00:00,114.89,115.83,114.22,115.5,65648177.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.01851851851851838,,
2023-05-18 04:00:00,116.69,118.6,116.335,118.15,73173987.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.022943722943723044,,
2023-05-19 04:00:00,118.16,118.31,115.7,116.25,55056307.0,111.958,111.958,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.016081252644942867,,
2023-05-22 04:00:00,116.77,116.77,114.25,115.01,70720123.0,112.876,112.51290909090909,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.010666666666666602,0.017577446457900454,0.008491636437572114
2023-05-23 04:00:00,114.27,117.14,113.78,114.99,67576262.0,113.713,112.96328925619834,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.00017389792191990772,0.017791701370671608,0.007727766441279193
2023-05-24 04:00:00,115.35,117.34,115.02,116.75,63453438.0,114.36899999999999,113.65178211870773,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.015305678754674368,0.015669967506454746,0.005909994418040942
2023-05-25 04:00:00,116.63,116.87,114.31,115.0,66496681.0,114.651,113.89691264257904,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.01498929336188437,0.016295438209081987,0.0026050935780862817
2023-05-26 04:00:00,116.04,121.5,116.02,120.11,96779889.0,115.63600000000001,115.02656488938285,74.40564057416431,MACD_12_26_9,MACDh_12_26_9,,,,,,0.04443478260869571,0.01935589731503448,0.008760106871938556
2023-05-30 04:00:00,122.37,122.92,119.855,121.66,64297208.0,116.68200000000002,116.23264400040415,76.50164707284033,MACD_12_26_9,MACDh_12_26_9,,,,,,0.012904837232536881,0.01939949161372532,0.009198060212460524
2023-05-31 04:00:00,121.45,122.04,119.17,120.58,72800787.0,117.4,117.02307236396702,72.07274416977553,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.008877198750616433,0.019775305202042258,0.00633192307121182
2023-06-01 04:00:00,120.69,123.49,119.93,122.77,54375131.0,118.127,118.0679682977912,75.20716052514466,MACD_12_26_9,MACDh_12_26_9,,,,,,0.01816221595621159,0.01975121455759746,0.006296292814981142
2023-06-02 04:00:00,124.92,126.39,124.015,124.25,61264414.0,118.73700000000001,119.19197406182916,77.07938122707485,MACD_12_26_9,MACDh_12_26_9,,,,,,0.012055062311639775,0.019018016287751065,0.005207426751772814
