datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,macd,macd_signal,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-05-08 04:00:00,173.72,173.8,169.19,171.79,112248249.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,,,
2023-05-09 04:00:00,168.95,169.82,166.56,169.15,88859843.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.015367599976715662,,
2023-05-10 04:00:00,172.55,174.43,166.68,168.54,119798843.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.003606266627254051,,
2023-05-11 04:00:00,168.7,173.57,166.79,172.08,103871205.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.021003915984336263,,
2023-05-12 04:00:00,176.07,177.38,167.23,167.98,157768815.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.023826127382612916,,
2023-05-15 04:00:00,167.655,169.76,164.5499,166.35,105592510.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.00970353613525421,,
2023-05-16 04:00:00,165.65,169.5184,164.35,166.52,98287142.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.00102194168920966,,
2023-05-17 04:00:00,168.41,174.5,167.185,173.86,125439358.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.0440787893346144,,
2023-05-18 04:00:00,174.22,177.06,172.45,176.89,109520332.0,,,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.01742781548372241,,
2023-05-19 04:00:00,177.17,181.95,176.31,180.14,136190926.0,171.32999999999998,171.32999999999998,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.018373000169596976,,
2023-05-22 04:00:00,180.7,189.32,180.11,188.87,132001430.0,173.038,174.5190909090909,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.04846230709448207,0.024331757768810032,0.009786423963412495
2023-05-23 04:00:00,186.2,192.96,185.26,185.77,156952042.0,174.7,176.56471074380164,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.016413406046487,0.02445382661764811,0.00968184335643536
2023-05-24 04:00:00,182.23,184.22,178.22,182.9,137603831.0,176.136,177.71658151765587,,MACD_12_26_9,MACDh_12_26_9,,,,,,-0.015449211390429096,0.02543592655608482,0.008497548880117856
2023-05-25 04:00:00,186.54,186.78,180.58,184.47,96870719.0,177.375,178.94447578717296,,MACD_12_26_9,MACDh_12_26_9,,,,,,0.008583925642427603,0.02505782172116933,0.00725554984592699
2023-05-26 04:00:00,184.62,198.6,184.53,193.17,162030446.0,179.894,181.5309347349597,74.89400820728473,MACD_12_26_9,MACDh_12_26_9,,,,,,0.047162140185395884,0.025328029586565607,0.01435437660272787
2023-05-30 04:00:00,200.1,204.48,197.53,201.16,128811186.0,183.375,185.09985569223971,79.75136791418913,MACD_12_26_9,MACDh_12_26_9,,,,,,0.041362530413625365,0.025085331340864794,0.019460983257615826
2023-05-31 04:00:00,199.78,203.95,195.12,203.93,150663736.0,187.11599999999999,188.52351829365068,81.11546960176773,MACD_12_26_9,MACDh_12_26_9,,,,,,0.013770133227281711,0.024357523404680368,0.020735802411423032
2023-06-01 04:00:00,202.59,209.8,199.37,207.52,148029931.0,190.482,191.97742405844144,82.73850785114657,MACD_12_26_9,MACDh_12_26_9,,,,,,0.017604079831314623,0.022935712427905073,0.018088331461093055
2023-06-02 04:00:00,210.15,217.25,209.752,213.97,164397946.0,194.19,195.9760742296339,85.19968791084122,MACD_12_26_9,MACDh_12_26_9,,,,,,0.031081341557440245,0.023295593989142816,0.019453684068464837
2023-06-05 04:00:00,217.8,221.29,214.52,217.61,151111552.0,197.937,199.90951527879136,86.3799291161862,MACD_12_26_9,MACDh_12_26_9,152.47848093609645,184.6335,216.78851906390355,34.831186175752016,1.0127737591208372,0.017011730616441678,0.023306585257427955,0.01931755711314931
2023-06-06 04:00:00,216.14,221.91,212.53,221.31,146907576.0,201.18099999999998,203.80051250082929,87.47342526356606,MACD_12_26_9,MACDh_12_26_9,151.81835409908032,187.1095,222.40064590091967,37.72245225487714,0.9845478820100987,0.017002895087541825,0.020938385790727293,0.016171615912455285
2023-06-07 04:00:00,228.0,230.8296,223.2,224.57,185630591.0,205.061,207.57678295522396,88.3601443247193,MACD_12_26_9,MACDh_12_26_9,152.05325718480134,189.8805,227.70774281519869,39.84320961362401,0.9585253565726713,0.014730468573494138,0.017603797420649228,0.0192860033744534
2023-06-08 04:00:00,224.22,235.23,223.01,234.86,164477139.0,210.257,212.53736787245595,90.61772939042432,MACD_12_26_9,MACDh_12_26_9,151.9598103777716,193.1965,234.43318962222838,42.688857843934436,1.0051751290135273,0.04582090216858892,0.014572448053106226,0.025413014730355198
2023-06-09 04:00:00,249.07,252.42,242.02,244.4,200174671.0,216.25,218.3305737138276,92.1398381935654,MACD_12_26_9,MACDh_12_26_9,151.1688682974284,196.8125,242.4561317025716,46.38285851007595,1.0212939705378317,0.04061994379630418,0.013970635818332059,0.028616616545742858
2023-06-12 04:00:00,247.94,250.97,244.59,249.83,150739148.0,221.916,224.0577421294953,92.85077775058573,MACD_12_26_9,MACDh_12_26_9,151.79028387540046,200.905,250.01971612459954,48.893473158557065,0.9980686427656608,0.02221767594108015,0.012433804060193867,0.026122170121311284
2023-06-13 04:00:00,253.51,259.68,251.34,258.71,162369003.0,227.671,230.35815265140522,93.83312329187582,MACD_12_26_9,MACDh_12_26_9,153.02132722664925,205.523,258.02467277335074,51.09080032244639,1.0065267180115174,0.035544170035624045,0.011759230508945244,0.02554033408351115
2023-06-14 04:00:00,260.17,261.57,250.5,256.79,170543752.0,232.95699999999997,235.16394307842245,90.92403354385233,MACD_12_26_9,MACDh_12_26_9,156.21872253752952,210.03650000000002,263.8542774624705,51.24611909117748,0.9343685507321746,-0.007421437130377462,0.01544721473420215,0.023421177047745233
2023-06-15 04:00:00,248.4,258.95,247.29,255.9,160133746.0,237.795,238.934135245982,89.53828892883138,MACD_12_26_9,MACDh_12_26_9,159.47597306426462,214.13850000000002,268.8010269357354,51.05343218126156,0.8819938661918918,-0.0034658670508976863,0.017613846326039472,0.021314182359524002
2023-06-16 04:00:00,258.92,263.6,257.2091,260.54,167765649.0,242.452,242.86247429216706,90.36292513028035,MACD_12_26_9,MACDh_12_26_9,162.9030578151805,218.321,273.7389421848195,50.76739496871076,0.88091454081062,0.01813208284486123,0.017289008293579846,0.0200192564882661
