datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2023-06-05 04:00:00,182.63,184.951,178.035,179.58,121722517.0,176.119,177.13785934295808,67.5964007776669,168.97838105326196,174.66875,180.359118946738,6.515611918832686,0.9315405596692782,-0.0075711522520032,0.0099563411166698,0.0025397837134394
2023-06-06 04:00:00,179.965,180.12,177.43,179.21,64845314.0,176.62,177.51461218969297,65.6621751830297,168.9621174288697,174.95425,180.9463825711303,6.849942280487954,0.8551114690372448,-0.0020603630693841,0.0097057933483775,0.0028818177421941
2023-06-07 04:00:00,178.44,181.21,177.32,177.82,61944615.0,177.246,177.57013724611244,58.84940991564201,169.32764865578258,175.25675,181.18585134421744,6.766188856312158,0.7161583898797652,-0.0077562636013616,0.0083678610478573,0.0036216908080051
2023-06-08 04:00:00,177.895,180.84,177.46,180.57,50210681.0,178.119,178.11556683772835,66.29929710134424,169.30439957243257,175.60750000000002,181.91060042756743,7.178623267875738,0.8936554761443929,0.0154650770442019,0.0091126405873184,0.005004990305384
2023-06-09 04:00:00,181.5,182.23,180.63,180.96,48869360.0,178.916,178.6327365035959,67.20603984802696,169.31600601323177,175.96800000000002,182.61999398676824,7.560458704728412,0.8752258352856137,0.002159827213823,0.0091320905158045,0.0045517458386844
2023-06-12 04:00:00,181.27,183.89,180.97,183.79,54754995.0,179.752,179.57042077566936,72.90332162604967,169.25455184223566,176.529,183.8034481577644,8.241646593777045,0.9990756578731,0.0156388152077806,0.0093213105937594,0.0047051412041934
2023-06-13 04:00:00,182.8,184.15,182.44,183.31,54867129.0,180.353,180.2503442710021,70.66102405125784,169.549509696353,177.09099999999998,184.63249030364696,8.517079132928249,0.9123190344083968,-0.0026116763697697,0.0093241036160744,0.003378021335557
2023-06-14 04:00:00,183.37,184.39,182.02,183.95,57462782.0,181.023,180.92300894900177,71.90194908587323,169.95002617974686,177.685,185.41997382025315,8.706389194645745,0.9049787462496512,0.0034913534449838,0.0092354593148007,0.0037553574696775
2023-06-15 04:00:00,183.96,186.52,183.78,186.01,65433166.0,181.615,181.8479164128196,75.494739248142,170.17012498567533,178.351,186.53187501432467,9.173904283491172,0.9681039611648584,0.0111986952976352,0.0086296340430077,0.0032729702998642
2023-06-16 04:00:00,186.73,186.99,184.27,184.92,101151225.0,182.012,182.4064770650342,70.36763031506872,170.33547073691705,178.84449999999998,187.3535292630829,9.515561577887985,0.85700312057681,-0.005859900005376,0.0090681148888024,0.0022094412910529
2023-06-20 04:00:00,184.41,186.1,184.41,185.01,49799092.0,182.555,182.87984487139164,70.54550255224476,170.60081524920625,179.33700000000002,188.07318475079376,9.742757769778423,0.8246840675779279,0.0004866969500325,0.0084386104264364,0.0030152262112565
2023-06-21 04:00:00,184.9,185.41,182.5901,183.96,49515697.0,183.03,183.0762367129568,65.59823485638705,171.2014844755748,179.825,188.4485155244252,9.59100850763263,0.7397514092882463,-0.0056753688989783,0.0087518209119394,0.0026537256282971
2023-06-22 04:00:00,183.74,187.045,183.67,187.0,51245327.0,183.948,183.789648219692,71.7707759220535,172.31357293144904,180.597,188.8804270685509,9.173382800988872,0.8864946203431795,0.0165253315938247,0.0089096908117628,0.0050818851478157
2023-06-23 04:00:00,185.55,187.56,185.01,186.68,53112346.0,184.559,184.3151667252025,70.34008045837614,173.69200869622549,181.339,188.9859913037745,8.433918025107134,0.8492223142298932,-0.001711229946524,0.0083218353998161,0.0033642544487431
2023-06-26 04:00:00,186.83,188.05,185.23,185.27,48088661.0,184.99,184.48877277516567,64.26147358845871,175.16198505376383,181.953,188.7440149462361,7.464581453711864,0.744219754061829,-0.0075530319262909,0.0090159059035648,0.0023929685347317
2023-06-27 04:00:00,185.89,188.39,185.67,188.06,50730846.0,185.417,185.13808681604465,69.81924920597943,175.9911776963352,182.5845,189.1778223036648,7.222214704605037,0.9152307249530744,0.0150591029308575,0.0089226548937697,0.0023349973070394
2023-06-28 04:00:00,187.93,189.9,187.6,189.25,51216801.0,186.011,185.8857073949456,71.83138507072151,176.44817018332034,183.182,189.91582981667963,7.352064959089479,0.9505608372348244,0.0063277677337019,0.0088192038082754,0.0032289417173866
2023-06-29 04:00:00,189.08,190.07,188.94,189.59,46347308.0,186.575,186.5592151413191,72.39761204844896,177.09105873609465,183.799,190.50694126390536,7.299214102258831,0.9316525571832812,0.001796565389696,0.0088298786557738,0.0030594629118578
2023-06-30 04:00:00,191.63,194.48,191.26,193.97,85068452.0,187.371,187.9066305701701,78.41661437813605,176.682209771092,184.493,192.303790228908,8.46730253061958,1.1066607681336338,0.0231024843082441,0.0106614903964721,0.0042498418129187
2023-07-03 04:00:00,193.78,193.88,191.76,192.46,31458198.0,188.125,188.73451592104828,72.54355726836158,176.70981044959768,185.0685,193.42718955040232,9.033076455909372,0.9421446660645652,-0.0077847089756147,0.0108794374923963,0.0040573609158948
2023-07-05 04:00:00,191.565,192.98,190.62,191.33,46896861.0,188.757,189.2064221172213,68.41414521720847,177.2712748405207,185.656,194.0407251594793,9.032538845476903,0.8383533683024362,-0.0058713498908864,0.0112893589155801,0.0034215562318029
2023-07-06 04:00:00,189.84,192.02,189.2,191.81,45155523.0,189.542,189.67979991409013,69.215759224395,178.04099084293983,186.286,194.53100915706017,8.851990119558279,0.8349905315308124,0.002508754507918,0.010844495762476,0.0042399685724926
2023-07-07 04:00:00,191.41,192.67,190.24,190.68,46757498.0,189.91000000000005,189.86165447516464,65.03150233833787,179.4555004181437,186.929,194.4024995818563,7.996083627319772,0.7509533826098322,-0.0058912465460612,0.0103273578031233,0.001998310758504
2023-07-10 04:00:00,189.26,189.99,187.035,188.61,59912163.0,190.103,189.6340809342256,58.10229972894715,180.425599504735,187.331,194.23640049526503,7.372405523127526,0.5926086764176095,-0.0108558842039018,0.0110704613899841,0.0010838453327662
2023-07-11 04:00:00,189.16,189.3,186.6,188.08,46638119.0,190.384,189.3515207643664,56.44398355191135,181.42825539744533,187.687,193.94574460255464,6.6693426849538096,0.5313960726117175,-0.0028100312814802,0.0107564608970684,0.0015581453972473
2023-07-12 04:00:00,189.68,191.7,188.47,189.77,60750218.0,190.555,189.427607898118,60.33185115800984,181.93251042786008,187.986,194.03948957214,6.440362124987964,0.6473530249569208,0.0089855380689067,0.010058244533344,0.0009507889110522
2023-07-13 04:00:00,190.5,191.19,189.78,190.54,41337338.0,190.68400000000003,189.62986100755103,61.99632734723942,182.5982743999729,188.34750000000005,194.0967256000272,6.104913099485899,0.6906778540739149,0.00405754334194,0.0099484179523325,0.000723766471876
2023-07-14 04:00:00,190.23,191.1799,189.63,190.69,41616242.0,190.794,189.82261355163263,62.32794692294495,183.222890438707,188.6845,194.14610956129303,5.789144907284929,0.683599722526228,0.0007872362758476,0.009941442071565,0.0006228335604912
2023-07-17 04:00:00,191.9,194.32,191.81,193.99,50520159.0,190.796,190.5803201786085,68.78193224959169,183.30496636247503,189.0835,194.86203363752497,6.112150068646876,0.9245454217085364,0.017305574492632,0.008557707150656,4.3142578930011055e-05
2023-07-18 04:00:00,193.35,194.33,192.415,193.73,48153774.0,190.923,191.1529892370433,67.79642556821375,183.73899040623027,189.524,195.30900959376973,6.104777857970208,0.8635257584127187,-0.0013402752719213,0.0081349361637967,0.0006875859492993
2023-07-19 04:00:00,193.1,198.23,192.65,195.1,80492323.0,191.3,191.8706275575809,70.21786149911988,184.1470570648005,190.0285,195.90994293519947,6.190064053759818,0.9311441984455808,0.007071697723636,0.0080040244956161,0.0019818907107515
2023-07-20 04:00:00,195.09,196.47,192.495,193.13,59581196.0,191.432,192.09960436529343,62.89447821365273,185.16637935951,190.487,195.80762064049003,5.586334648023261,0.7483732799785344,-0.01009738595592,0.0088588909183413,0.0007212766643677
2023-07-21 04:00:00,194.1,194.97,191.23,191.94,71451683.0,191.558,192.07058538978552,58.89840774169815,185.6295533110817,190.734,195.83844668891825,5.352424516780724,0.6181322945950476,-0.0061616527727437,0.0088817007705775,0.0006942360416995
2023-07-24 04:00:00,193.41,194.91,192.25,192.75,45345097.0,191.972,192.1941153189154,60.72748510128064,186.2195341429179,191.0375,195.85546585708207,5.0440001121058735,0.6777202299475338,0.004220068771491,0.007932067547071,0.0022018313392388
